business_name,category,phone,email,address,city,state,zip_code,website,rating,review_count,source,google_maps_url,latitude,longitude,scraped_date,lead_id
Electro Tech Hub,Electronics Shops,+2340913692509,electrotechhub@gmail.com,"147 Abijo, Ikot Ekpenyong, Calabar",Calabar,Ikot Ekpenyong,,https://electrotechhub.ng,4.4,437,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-190858
Premium Real Estate Solutions,Real Estate Agencies,+2340804903020,premiumrealestatesolutions@gmail.com,"44 Moloney Street, Garki, Abuja",Abuja,Garki,,https://premiumrealestatesolutions.com,4.5,388,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-361653
Floral Florist,Flower Shops,+2340712821798,floralflorist@hotmail.com,"25 Billings Way, Karewa, Yola",Yola,Karewa,,https://floralflorist.ng,3.6,373,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-205275
Blooming Bloom Shop,Flower Shops,+2340911771291,bloomingbloomshop@yahoo.com,"61 Kofi Annan Street, Oji River, Enugu",Enugu,Oji River,,https://bloomingbloomshop.com,4.5,146,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-336450
Care Medical Store,Pharmacies,+2340702663498,caremedicalstore@hotmail.com,"195 Mobolaji Bank Anthony Marina Road, Mpape, Abuja",Abuja,Mpape,,https://caremedicalstore.com,4.9,226,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-830880
Fresh Barber House,Barber Shops,+2340803503418,freshbarberhouse@hotmail.com,"73 Kodesoh Street, Tudun Wada, Kaduna",Kaduna,Tudun Wada,,https://freshbarberhouse.ng,3.6,330,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-834001
Pro Electronics Store,Electronics Shops,+2340910850497,proelectronicsstore@outlook.com,"109 Adeniyi Jones Avenue, Igbona, Oshogbo",Oshogbo,Igbona,,https://proelectronicsstore.org.ng,4.0,484,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-608651
Flow Plumbing,Plumbing Services,+2340807071417,flowplumbing@gmail.com,"58 Opebi Road, Ugbowo, Benin City",Benin City,Ugbowo,,https://flowplumbing.com,4.8,115,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-790978
Life Family Clinic,Medical Clinics,+2340718602009,lifefamilyclinic@yahoo.com,"66 Johnson Street, Okhoro, Benin City",Benin City,Okhoro,,https://lifefamilyclinic.com,3.9,453,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-166875
Tidy Press House,Dry Cleaners,+2340805652026,tidypresshouse@yahoo.com,"182 Awolowo Road, Ikot Effanga, Calabar",Calabar,Ikot Effanga,,https://tidypresshouse.com,4.2,431,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-972610
Book Bookshop,Bookstores,+2340913605726,bookbookshop@outlook.com,"13 Allen Roundabout, Tarauni, Kano",Kano,Tarauni,,https://bookbookshop.com.ng,4.9,299,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-940654
Pet Pet Care Clinic,Veterinary Clinics,+2340704864661,petpetcareclinic@hotmail.com,"63 Independence Layout, Uwanse, Calabar",Calabar,Uwanse,,https://petpetcareclinic.org.ng,4.1,121,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-690502
Golden Realty,Real Estate Agencies,+2340818526074,goldenrealty@gmail.com,"113 Ola-Ayinde Street, Balogun Fulani, Ilorin",Ilorin,Balogun Fulani,,https://goldenrealty.com,4.6,161,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-170466
Paw Animal Clinic,Veterinary Clinics,+2340719197555,pawanimalclinic@outlook.com,"13 Adeyemo Alakija Street, Uwelu Road, Benin City",Benin City,Uwelu Road,,https://pawanimalclinic.biz,3.8,65,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-123231
Frame Studio,Photo Studios,+2340802425995,framestudio@hotmail.com,"120 Allen Avenue, Zuma Road, Lokoja",Lokoja,Zuma Road,,https://framestudio.org.ng,4.1,299,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-255486
Quick Car Wash & Detailing,Car Washes,+2340702526375,quickcarwashanddetailing@yahoo.com,"52 Festac Mile 2, Sabon Tasha, Kaduna",Kaduna,Sabon Tasha,,https://quickcarwashanddetailing.com,3.6,375,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-442825
Divine Health Centre,Medical Clinics,+2340818442375,divinehealthcentre@outlook.com,"137 Adeniyi Jones Avenue, Eliozu, Port Harcourt",Port Harcourt,Eliozu,,https://divinehealthcentre.ng,4.7,314,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-113603
Page Book Centre,Bookstores,+2340802097789,pagebookcentre@gmail.com,"59 Johnson Street, Brahma Road, Lokoja",Lokoja,Brahma Road,,https://pagebookcentre.com,5.0,380,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-530059
Sterling Real Estate Solutions,Real Estate Agencies,+2340709670197,sterlingrealestatesolutions@outlook.com,"24 Kofi Annan Street, Ugbowo, Benin City",Benin City,Ugbowo,,https://sterlingrealestatesolutions.com,3.8,8,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-690243
Apex Solicitors,Law Firms,+2340718939690,apexsolicitors@yahoo.com,"29 Badagry Expressway, Barracks, Lokoja",Lokoja,Barracks,,https://apexsolicitors.biz,4.6,267,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-840917
Tasty Grill,Restaurants,+2340702130398,tastygrill@yahoo.com,"64 Allen Avenue, Sabon Tasha, Kaduna",Kaduna,Sabon Tasha,,https://tastygrill.org.ng,4.8,332,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-687141
Peak Fitness Club,Gyms,+2340906416150,peakfitnessclub@hotmail.com,"69 Johnson Street, Mapo, Ibadan",Ibadan,Mapo,,https://peakfitnessclub.biz,4.8,91,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-470937
Quick Wash Station,Car Washes,+2340708633331,quickwashstation@gmail.com,"83 Kodesoh Street, Ohuru, Aba",Aba,Ohuru,,https://quickwashstation.com.ng,3.7,175,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-886513
Aqua Plumbing Experts,Plumbing Services,+2340700473218,aquaplumbingexperts@yahoo.com,"170 Kodesoh Street, Asokoro, Abuja",Abuja,Asokoro,,https://aquaplumbingexperts.com,3.8,239,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-698910
Pawsome Pet Grooming,Pet Groomers,+2340914838598,pawsomepetgrooming@gmail.com,"105 Sangotedo, Keesi, Abeokuta",Abeokuta,Keesi,,https://pawsomepetgrooming.ng,4.7,284,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-704110
Comfort Cooling Systems,HVAC Services,+2340802549515,comfortcoolingsystems@gmail.com,"27 Badagry Expressway, Mpape, Abuja",Abuja,Mpape,,https://mfortolingsystems.org.ng,3.8,240,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-921005
King Barber Parlour,Barber Shops,+2340804151095,kingbarberparlour@hotmail.com,"2 Lekki Epe Expressway, Lekki, Lagos",Lagos,Lekki,,https://kingbarberparlour.biz,4.4,407,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-198265
Green Pub,Bars,+2340711853567,greenpub@yahoo.com,"15 Badagry Expressway, Gwange, Maiduguri",Maiduguri,Gwange,,https://greenpub.com.ng,3.9,87,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-386915
Master Pipe Services,Plumbers,+2340805771857,masterpipeservices@outlook.com,"94 Ola-Ayinde Street, Rumde, Yola",Yola,Rumde,,https://masterpipeservices.com,4.3,259,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-331195
Divine Bakery,Bakeries,+2340809233728,divinebakery@hotmail.com,"128 Nnamdi Azikiwe Street, Ikot Okubo, Calabar",Calabar,Ikot Okubo,,https://divinebakery.biz,3.7,174,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-409921
Peace Yoga Space,Yoga Studios,+2340703220815,peaceyogaspace@yahoo.com,"90 Independence Layout, Ikeja, Lagos",Lagos,Ikeja,,https://peaceyogaspace.org.ng,3.6,312,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-477823
Elite Real Estate Solutions,Real Estate Agencies,+2340812346442,eliterealestatesolutions@yahoo.com,"3 Adetokunbo Ademola Road, Old Market, Lokoja",Lokoja,Old Market,,https://eliterealestatesolutions.ng,4.3,379,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-728684
Sharp Barber Parlour,Barber Shops,+2340918353338,sharpbarberparlour@outlook.com,"111 Adeola Odeku Street, Rumde, Yola",Yola,Rumde,,https://sharpbarberparlour.org.ng,4.8,303,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-812368
Elite Beauty Studio,Beauty Salons,+2340801899790,elitebeautystudio@yahoo.com,"172 Abijo, Gada Biu, Jos",Jos,Gada Biu,,https://elitebeautystudio.com.ng,4.7,149,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-666598
Sweet Bakery,Bakeries,+2340710236174,sweetbakery@hotmail.com,"30 Oba Akran Avenue, Ihiagwa, Owerri",Owerri,Ihiagwa,,https://sweetbakery.org.ng,4.1,310,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-853061
Wellness Pharmacy Shop,Pharmacies,+2340813372463,wellnesspharmacyshop@gmail.com,"96 Marina Road, Ajah, Lagos",Lagos,Ajah,,https://wellnesspharmacyshop.ng,3.6,181,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-663673
Tasty Culinary Services,Caterers,+2340801060800,tastyculinaryservices@gmail.com,"114 Allen Avenue, Nasarawa, Kano",Kano,Nasarawa,,https://tastyculinaryservices.org.ng,3.9,455,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-982385
Chic Style Studio,Clothing Boutiques,+2340719928692,chicstylestudio@outlook.com,"82 Ajah, Mpape, Abuja",Abuja,Mpape,,https://chicstylestudio.ng,4.0,174,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-233760
Justice Law Firm,Law Firms,+2340907194684,justicelawfirm@gmail.com,"108 Adeyemo Alakija Street, Lagos Island, Lagos",Lagos,Lagos Island,,https://justicelawfirm.org.ng,3.9,60,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-817041
Thread Stitch Studio,Tailor Shops,+2340817149983,threadstitchstudio@hotmail.com,"44 Ikorodu Road, Wuro Hausa, Yola",Yola,Wuro Hausa,,https://threadstitchstudio.ng,4.8,16,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-523351
Gleam Clean Car Co.,Car Washes,+2340713374643,gleamcleancarco@hotmail.com,"154 Johnson Street, Mando, Kaduna",Kaduna,Mando,,https://gleamcleancar.com.ng,5.0,38,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-725330
Fit Fitness Studio,Gyms,+2340804707568,fitfitnessstudio@hotmail.com,"188 Victoria Island, Ikot Ansa, Calabar",Calabar,Ikot Ansa,,https://fitfitnessstudio.ng,3.9,413,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-515566
Pizza Italian Pizza,Pizzerias,+2340919884426,pizzaitalianpizza@yahoo.com,"133 Agungi, Gwadabawa, Yola",Yola,Gwadabawa,,https://pizzaitalianpizza.biz,4.8,205,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-454930
Health Vet Clinic,Veterinary Clinics,+2340919461976,healthvetclinic@hotmail.com,"191 Kofi Annan Street, Iranje, Abeokuta",Abeokuta,Iranje,,https://healthvetclinic.org.ng,4.8,334,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-657393
Royal Hospital,Medical Clinics,+2340905274320,royalhospital@gmail.com,"79 Johnson Street, Rumuola, Port Harcourt",Port Harcourt,Rumuola,,https://royalhospital.biz,3.5,27,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-612141
Life Pharmacy Centre,Pharmacies,+2340910547566,lifepharmacycentre@outlook.com,"111 Oregun Road, Oloje, Ilorin",Ilorin,Oloje,,https://lifepharmacycentre.com.ng,5.0,223,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-406396
Fine Food Services,Caterers,+2340818607253,finefoodservices@outlook.com,"83 Oregun Road, Oke Mosan, Abeokuta",Abeokuta,Oke Mosan,,https://finefoodservices.com.ng,4.7,9,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-724665
Art Photo Gallery,Photo Studios,+2340816498271,artphotogallery@outlook.com,"178 Lekki Epe Expressway, Ikoyi, Lagos",Lagos,Ikoyi,,https://artphotogallery.com.ng,4.8,178,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-620051
Animal Animal Clinic,Veterinary Clinics,+2340917652392,animalanimalclinic@hotmail.com,"59 Badagry Expressway, Isale Oja, Oshogbo",Oshogbo,Isale Oja,,https://animalanimalclinic.ng,4.1,64,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-352947
Care Drug Store,Pharmacies,+2340915126055,caredrugstore@yahoo.com,"31 Allen Avenue, Badarawa, Kaduna",Kaduna,Badarawa,,https://caredrugstore.ng,4.6,131,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-731505
Blooming Floral Design,Flower Shops,+2340918419654,bloomingfloraldesign@gmail.com,"31 Mobolaji Bank Anthony Marina Road, Adesuwa, Benin City",Benin City,Adesuwa,,https://bloomingfloraldesign.com,4.2,357,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-918942
Med Diagnostic Centre,Medical Clinics,+2340710423087,meddiagnosticcentre@hotmail.com,"140 Johnson Street, Mapo, Ibadan",Ibadan,Mapo,,https://meddiagnosticcentre.ng,3.6,97,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-172822
Bloom Floral Shop,Flower Shops,+2340908264612,bloomfloralshop@yahoo.com,"55 Sangotedo, Isabo, Abeokuta",Abeokuta,Isabo,,https://bloomfloralshop.org.ng,4.2,397,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-186932
Master Auto Centre,Auto Repair Shops,+2340708994007,masterautocentre@yahoo.com,"110 Billings Way, Damboa, Maiduguri",Maiduguri,Damboa,,https://masterautocentre.ng,3.9,293,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-952575
Vogue Fashion Hub,Clothing Boutiques,+2340709084577,voguefashionhub@outlook.com,"20 Moloney Street, Isiekpe, Umuahia",Umuahia,Isiekpe,,https://voguefashionhub.org.ng,3.5,55,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-497379
Expert Tax & Financial,Tax Consultants,+2340710186637,experttaxandfinancial@yahoo.com,"181 Oregun Road, Gwale, Kano",Kano,Gwale,,https://experttaxandfinancial.ng,4.4,38,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-968439
Care Dental Office,Dental Clinics,+2340801734146,caredentaloffice@hotmail.com,"33 Adeola Odeku Street, Umuchima, Owerri",Owerri,Umuchima,,https://caredentaloffice.biz,4.8,90,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-910642
Smart Electronics Mart,Electronics Shops,+2340713666441,smartelectronicsmart@hotmail.com,"196 Ikeja Way, Barracks, Lokoja",Lokoja,Barracks,,https://smartelectronicsmart.org.ng,4.0,291,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-531152
Bella Beauty Studio,Beauty Salons,+2340808852512,bellabeautystudio@outlook.com,"87 Independence Layout, Gada Biu, Jos",Jos,Gada Biu,,https://bellabeautystudio.com.ng,3.7,369,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-531117
Gourmet Food Services,Caterers,+2340907566668,gourmetfoodservices@outlook.com,"86 Adeniyi Jones Avenue, Eleme, Port Harcourt",Port Harcourt,Eleme,,https://gourmetfoodservices.ng,4.2,69,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-300040
Delicious Banquet Services,Caterers,+2340718406053,deliciousbanquetservices@hotmail.com,"169 Independence Layout, Puja, Lokoja",Lokoja,Puja,,https://deliciousbanquetservices.com.ng,3.8,311,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-912157
Expert Tax Firm,Tax Consultants,+2340910091993,experttaxfirm@yahoo.com,"150 Sangotedo, Ajikobi, Ilorin",Ilorin,Ajikobi,,https://experttaxfirm.com,4.3,383,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-781353
Gold Jewelry House,Jewelry Stores,+2340817041508,goldjewelryhouse@yahoo.com,"65 Awolowo Road, Badarawa, Kaduna",Kaduna,Badarawa,,https://goldjewelryhouse.biz,4.8,42,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-260063
Scenic Grounds Maintenance,Landscapers,+2340913037155,scenicgroundsmaintenance@gmail.com,"199 Adetokunbo Ademola Road, Okene Road, Ilorin",Ilorin,Okene Road,,https://scenicgroundsmaintenance.com,4.6,160,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-966796
Bella Beauty Bar,Beauty Salons,+2340901837193,bellabeautybar@gmail.com,"83 Awolowo Road, Karewa, Yola",Yola,Karewa,,https://bellabeautybar.com,4.6,409,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-635991
Sharp Press House,Dry Cleaners,+2340708586239,sharppresshouse@gmail.com,"27 King George V Road, Igbona, Oshogbo",Oshogbo,Igbona,,https://sharppresshouse.ng,4.4,397,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-823594
Fine Restaurant & Bar,Restaurants,+2340806949675,finerestaurantandbar@yahoo.com,"86 Billings Way, Brahma Road, Lokoja",Lokoja,Brahma Road,,https://finerestaurantandbar.com,4.2,37,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-345931
Aroma Coffee Lounge,Coffee Shops,+2340814391434,aromacoffeelounge@outlook.com,"77 Independence Layout, Ikot Effanga, Calabar",Calabar,Ikot Effanga,,https://aromaffeelounge.com.ng,4.5,331,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-935896
Pristine Cleaning Services,Dry Cleaners,+2340818284388,pristinecleaningservices@outlook.com,"64 Moloney Street, Shuwari, Kano",Kano,Shuwari,,https://pristinecleaningservices.com.ng,4.9,139,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-943447
Royal Restaurant Lounge,Restaurants,+2340916629043,royalrestaurantlounge@yahoo.com,"80 Kakawa Street, Olugbemi, Oshogbo",Oshogbo,Olugbemi,,https://royalrestaurantlounge.org.ng,4.7,181,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-217477
Animal Care Vet Services,Veterinary Clinics,+2340711110050,animalcarevetservices@hotmail.com,"33 Ikeja Way, Isale Oja, Oshogbo",Oshogbo,Isale Oja,,https://animalcarevetservices.com.ng,4.8,295,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-969212
Earth Landscape Design,Landscapers,+2340811527678,earthlandscapedesign@yahoo.com,"79 Ajah, Kabong, Jos",Jos,Kabong,,https://earthlandscapedesign.com.ng,4.1,250,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-119371
Clean Laundry,Dry Cleaners,+2340814171277,cleanlaundry@outlook.com,"107 Sangotedo, Rayfield, Jos",Jos,Rayfield,,https://cleanlaundry.ng,4.5,147,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-564644
Tasty Kitchen,Caterers,+2340710732589,tastykitchen@yahoo.com,"164 Opebi Road, Egbu, Owerri",Owerri,Egbu,,https://tastykitchen.org.ng,4.3,392,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-906672
Serenity Yoga & Meditation,Yoga Studios,+2340800616865,serenityyogaandmeditation@hotmail.com,"170 Nnamdi Azikiwe Street, Garki, Abuja",Abuja,Garki,,https://serenityyogaandmeditation.com.ng,4.5,321,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-774083
Justice Chambers,Law Firms,+2340802805561,justicechambers@outlook.com,"123 Ikorodu Road, Nsukka, Enugu",Enugu,Nsukka,,https://justicechambers.com,4.7,436,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-357763
Scenic Lawn Care,Landscapers,+2340703201641,sceniclawncare@gmail.com,"154 Nnamdi Azikiwe Street, Umuohu, Umuahia",Umuahia,Umuohu,,https://sceniclawncare.biz,4.8,246,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-879822
Pro Air Tech,HVAC Services,+2340818387978,proairtech@outlook.com,"168 Johnson Street, Mapo, Ibadan",Ibadan,Mapo,,https://proairtech.com.ng,4.9,397,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-797955
Royal Bread Co.,Bakeries,+2340908500172,royalbreadco@hotmail.com,"5 Nnamdi Azikiwe Street, Tarauni, Kano",Kano,Tarauni,,https://royalbread.ng,3.5,274,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-854101
Elite Gym Studio,Gyms,+2340916092264,elitegymstudio@outlook.com,"109 Oba Akran Avenue, Idi Oro, Abeokuta",Abeokuta,Idi Oro,,https://elitegymstudio.com.ng,3.9,381,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-989087
Gentleman Cut Studio,Barber Shops,+2340705584258,gentlemancutstudio@gmail.com,"176 Adeyemo Alakija Street, GRA, Benin City",Benin City,GRA,,https://gentlemancutstudio.com,4.3,242,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-663742
Expert Tech Hub,Electronics Shops,+2340916027992,experttechhub@gmail.com,"148 Allen Avenue, Modeke, Oshogbo",Oshogbo,Modeke,,https://experttechhub.biz,3.9,21,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-963212
Expert Plumbing Co.,Plumbers,+2340908827878,expertplumbingco@outlook.com,"39 Opebi Road, Obinze, Owerri",Owerri,Obinze,,https://expertplumbing.com,5.0,208,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-260590
Gentle Dental Office,Dental Clinics,+2340914644271,gentledentaloffice@outlook.com,"118 Ajah, Ijare, Akure",Akure,Ijare,,https://gentledentaloffice.biz,4.9,317,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-358572
Wash Express Wash,Car Washes,+2340804289013,washexpresswash@yahoo.com,"33 Oregun Road, Puja, Lokoja",Lokoja,Puja,,https://washexpresswash.biz,4.7,353,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-336507
Exquisite Catering,Caterers,+2340912163735,exquisitecatering@gmail.com,"154 Mobolaji Bank Anthony Marina Road, Okhoro, Benin City",Benin City,Okhoro,,https://exquisitecatering.ng,4.6,197,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-709122
Urban Grooming Studio,Barber Shops,+2340718541956,urbangroomingstudio@outlook.com,"102 Ikeja Way, Epe, Lagos",Lagos,Epe,,https://urbangroomingstudio.com,4.0,421,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-463682
Coffee Cafe & Bakery,Coffee Shops,+2340805311988,coffeecafeandbakery@yahoo.com,"56 Adeyemo Alakija Street, Abbaganaram, Maiduguri",Maiduguri,Abbaganaram,,https://ffeecafeandbakery.com.ng,4.0,76,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-802380
Animal Animal Health Centre,Veterinary Clinics,+2340800122954,animalanimalhealthcentre@hotmail.com,"61 Johnson Street, Gada Biu, Jos",Jos,Gada Biu,,https://animalanimalhealthcentre.ng,4.0,393,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-216668
The Pub,Bars,+2340710892888,thepub@gmail.com,"79 Adetokunbo Ademola Road, Isale Oja, Oshogbo",Oshogbo,Isale Oja,,https://thepub.ng,4.9,101,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-620040
Fluffy Dog Grooming,Pet Groomers,+2340907770486,fluffydoggrooming@gmail.com,"9 Johnson Street, Uwelu Road, Benin City",Benin City,Uwelu Road,,https://fluffydoggrooming.biz,3.6,225,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-158091
Shine Car Detailing,Car Washes,+2340900775881,shinecardetailing@hotmail.com,"149 Ahmadu Bello Way, Namtari, Yola",Yola,Namtari,,https://shinecardetailing.org.ng,4.0,182,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-910041
Pro Fitness Centre,Gyms,+2340916286571,profitnesscentre@yahoo.com,"82 Allen Roundabout, Eldorov, Calabar",Calabar,Eldorov,,https://profitnesscentre.com,3.8,137,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-549474
Elite Jewelry Boutique,Jewelry Stores,+2340818521690,elitejewelryboutique@outlook.com,"130 Awolowo Way, Iva, Enugu",Enugu,Iva,,https://elitejewelryboutique.com.ng,3.7,317,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-184423
Garden Garden Services,Landscapers,+2340701886557,gardengardenservices@outlook.com,"13 Oregun Road, Ikot Okubo, Calabar",Calabar,Ikot Okubo,,https://gardengardenservices.biz,4.5,240,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-623236
Radiance Wellness Spa,Beauty Salons,+2340809511284,radiancewellnessspa@yahoo.com,"56 Tiamiyu Savage Street, Gwange, Maiduguri",Maiduguri,Gwange,,https://radiancewellnessspa.biz,3.8,277,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-160037
